table,cell,printed
Table 3,candidate-survival ASR A3_semantic_camouflage x D3_distilbert,0.99
Table 3,candidate-survival ASR A3_semantic_camouflage x D4_guard_zeroshot,0.99
Table 3,candidate-survival ASR A3_semantic_camouflage x D5_perplexity,1.0
Table 3,candidate-survival ASR A4_length_matched x D0_none,1.0
Table 3,candidate-survival ASR A4_length_matched x D1_3feat_tiny,1.0
Table 3,candidate-survival ASR A4_length_matched x D1b_3feat_trained,1.0
Table 3,candidate-survival ASR A4_length_matched x D2_embed_probe,0.98
Table 3,candidate-survival ASR A4_length_matched x D3_distilbert,0.68
Table 3,candidate-survival ASR A4_length_matched x D4_guard_zeroshot,0.0
Table 3,candidate-survival ASR A4_length_matched x D5_perplexity,0.66
Table 3,candidate-survival ASR A5_score_guided x D0_none,1.0
Table 3,candidate-survival ASR A5_score_guided x D1_3feat_tiny,1.0
Table 3,candidate-survival ASR A5_score_guided x D1b_3feat_trained,1.0
Table 3,candidate-survival ASR A5_score_guided x D2_embed_probe,0.98
Table 3,candidate-survival ASR A5_score_guided x D3_distilbert,0.68
Table 3,candidate-survival ASR A5_score_guided x D4_guard_zeroshot,0.05
Table 3,candidate-survival ASR A5_score_guided x D5_perplexity,0.15
Table 3,candidate-survival ASR A6_split_payload x D0_none,1.0
Table 3,candidate-survival ASR A6_split_payload x D1_3feat_tiny,1.0
Table 3,candidate-survival ASR A6_split_payload x D1b_3feat_trained,1.0
Table 3,candidate-survival ASR A6_split_payload x D2_embed_probe,0.98
Table 3,candidate-survival ASR A6_split_payload x D3_distilbert,0.93
Table 3,candidate-survival ASR A6_split_payload x D4_guard_zeroshot,0.01
Table 3,candidate-survival ASR A6_split_payload x D5_perplexity,0.9
Table 3,"mean ASR over A1-A6, D0_none",1.0
Table 3,"maximum ASR over A1-A6, D0_none",1.0
Table 3,"lowest cell over A1-A6, D0_none",0.99
Table 3,"mean ASR over A1-A6, D1_3feat_tiny",0.83
Table 3,"maximum ASR over A1-A6, D1_3feat_tiny",1.0
Table 3,"lowest cell over A1-A6, D1_3feat_tiny",0.0
Table 3,"mean ASR over A1-A6, D1b_3feat_trained",0.84
Table 3,"maximum ASR over A1-A6, D1b_3feat_trained",1.0
Table 3,"lowest cell over A1-A6, D1b_3feat_trained",0.02
Table 3,"mean ASR over A1-A6, D2_embed_probe",0.93
Table 3,"maximum ASR over A1-A6, D2_embed_probe",0.98
Table 3,"lowest cell over A1-A6, D2_embed_probe",0.74
Table 3,"mean ASR over A1-A6, D3_distilbert",0.55
Table 3,"maximum ASR over A1-A6, D3_distilbert",0.99
Table 3,"lowest cell over A1-A6, D3_distilbert",0.02
Table 3,"mean ASR over A1-A6, D4_guard_zeroshot",0.18
Table 3,"maximum ASR over A1-A6, D4_guard_zeroshot",0.99
Table 3,"lowest cell over A1-A6, D4_guard_zeroshot",0.0
Table 3,"mean ASR over A1-A6, D5_perplexity",0.49
Table 3,"maximum ASR over A1-A6, D5_perplexity",1.0
Table 3,"lowest cell over A1-A6, D5_perplexity",0.0
Table 12,D6 mean ASR over A1-A6 (uncalibrated control),1.0
Table 12,D6 maximum ASR over A1-A6 (uncalibrated control),1.0
Table 3,"realised FPR at the 1% target, D1_3feat_tiny",0.004
Table 3,"realised FPR at the 1% target, D1b_3feat_trained",0.008
Table 3,"realised FPR at the 1% target, D2_embed_probe",0.011
Table 3,"realised FPR at the 1% target, D3_distilbert",0.015
Table 3,"realised FPR at the 1% target, D4_guard_zeroshot",0.009
Table 3,"realised FPR at the 1% target, D5_perplexity",0.017
Table 3,"realised FPR at the 1% target, D6_ensemble",0.049
Table 3,"clean nDCG@10 cost at the 1% target, D1_3feat_tiny",0.0016
Table 3,"clean nDCG@10 cost at the 1% target, D1b_3feat_trained",0.0065
Table 3,"clean nDCG@10 cost at the 1% target, D2_embed_probe",0.01
Table 3,"clean nDCG@10 cost at the 1% target, D3_distilbert",0.0054
Table 3,"clean nDCG@10 cost at the 1% target, D4_guard_zeroshot",-0.0002
Table 3,"clean nDCG@10 cost at the 1% target, D5_perplexity",0.003
Table 3,"clean nDCG@10 cost at the 1% target, D6_ensemble",0.0
Table 3,"episodes per cell, A1-A4 and A6",300.0
Table 3,"episodes per cell, A5",60.0
Table 3,A5 x D0 pooled over the seven detector-specific document sets,420.0
Table 12,D1_3feat_tiny @ target 0.001: realised FPR,0.0
Table 12,D1_3feat_tiny @ target 0.001: clean nDCG@10 cost,0.0
Table 12,D1_3feat_tiny @ target 0.001: maximum ASR over A1-A6,1.0
Table 12,D1_3feat_tiny @ target 0.01: realised FPR,0.004
Table 12,D1_3feat_tiny @ target 0.01: clean nDCG@10 cost,0.0016
Table 12,D1_3feat_tiny @ target 0.01: maximum ASR over A1-A6,1.0
Table 12,D1_3feat_tiny @ target 0.05: realised FPR,0.055
Table 12,D1_3feat_tiny @ target 0.05: clean nDCG@10 cost,0.0267
Table 12,D1_3feat_tiny @ target 0.05: maximum ASR over A1-A6,1.0
Table 12,D1b_3feat_trained @ target 0.001: realised FPR,0.0
Table 12,D1b_3feat_trained @ target 0.001: clean nDCG@10 cost,0.0
Table 12,D1b_3feat_trained @ target 0.001: maximum ASR over A1-A6,1.0
Table 12,D1b_3feat_trained @ target 0.01: realised FPR,0.008
Table 12,D1b_3feat_trained @ target 0.01: clean nDCG@10 cost,0.0065
Table 12,D1b_3feat_trained @ target 0.01: maximum ASR over A1-A6,1.0
Table 12,D1b_3feat_trained @ target 0.05: realised FPR,0.053
Table 12,D1b_3feat_trained @ target 0.05: clean nDCG@10 cost,0.0415
Table 12,D1b_3feat_trained @ target 0.05: maximum ASR over A1-A6,1.0
Table 12,D2_embed_probe @ target 0.001: realised FPR,0.004
Table 12,D2_embed_probe @ target 0.001: clean nDCG@10 cost,0.0067
Table 12,D2_embed_probe @ target 0.001: maximum ASR over A1-A6,1.0
Table 12,D2_embed_probe @ target 0.01: realised FPR,0.011
Table 12,D2_embed_probe @ target 0.01: clean nDCG@10 cost,0.01
Table 12,D2_embed_probe @ target 0.01: maximum ASR over A1-A6,0.98
Table 12,D2_embed_probe @ target 0.05: realised FPR,0.059
Table 12,D2_embed_probe @ target 0.05: clean nDCG@10 cost,0.0366
Table 12,D2_embed_probe @ target 0.05: maximum ASR over A1-A6,0.95
Table 12,D3_distilbert @ target 0.001: realised FPR,0.003
Table 12,D3_distilbert @ target 0.001: clean nDCG@10 cost,0.0
Table 12,D3_distilbert @ target 0.001: maximum ASR over A1-A6,1.0
Table 12,D3_distilbert @ target 0.01: realised FPR,0.015
Table 12,D3_distilbert @ target 0.01: clean nDCG@10 cost,0.0054
Table 12,D3_distilbert @ target 0.01: maximum ASR over A1-A6,0.99
Table 12,D3_distilbert @ target 0.05: realised FPR,0.058
Table 12,D3_distilbert @ target 0.05: clean nDCG@10 cost,0.0129
Table 12,D3_distilbert @ target 0.05: maximum ASR over A1-A6,0.96
Table 12,D4_guard_zeroshot @ target 0.001: realised FPR,0.001
Table 12,D4_guard_zeroshot @ target 0.001: clean nDCG@10 cost,0.0
Table 12,D4_guard_zeroshot @ target 0.001: maximum ASR over A1-A6,0.99
Table 12,D4_guard_zeroshot @ target 0.01: realised FPR,0.009
Table 12,D4_guard_zeroshot @ target 0.01: clean nDCG@10 cost,-0.0002
Table 12,D4_guard_zeroshot @ target 0.01: maximum ASR over A1-A6,0.99
Table 12,D4_guard_zeroshot @ target 0.05: realised FPR,0.046
Table 12,D4_guard_zeroshot @ target 0.05: clean nDCG@10 cost,0.017
Table 12,D4_guard_zeroshot @ target 0.05: maximum ASR over A1-A6,0.96
Table 12,D5_perplexity @ target 0.001: realised FPR,0.006
Table 12,D5_perplexity @ target 0.001: clean nDCG@10 cost,0.0005
Table 12,D5_perplexity @ target 0.001: maximum ASR over A1-A6,1.0
Table 12,D5_perplexity @ target 0.01: realised FPR,0.017
Table 12,D5_perplexity @ target 0.01: clean nDCG@10 cost,0.003
Table 12,D5_perplexity @ target 0.01: maximum ASR over A1-A6,1.0
Table 12,D5_perplexity @ target 0.05: realised FPR,0.057
Table 12,D5_perplexity @ target 0.05: clean nDCG@10 cost,0.0435
Table 12,D5_perplexity @ target 0.05: maximum ASR over A1-A6,0.95
Table 12,D6_ensemble @ target 0.001: realised FPR,0.049
Table 12,D6_ensemble @ target 0.001: clean nDCG@10 cost,0.0
Table 12,D6_ensemble @ target 0.001: maximum ASR over A1-A6,1.0
Table 12,D6_ensemble @ target 0.01: realised FPR,0.049
Table 12,D6_ensemble @ target 0.01: clean nDCG@10 cost,0.0
Table 12,D6_ensemble @ target 0.01: maximum ASR over A1-A6,1.0
Table 12,D6_ensemble @ target 0.05: realised FPR,0.056
Table 12,D6_ensemble @ target 0.05: clean nDCG@10 cost,0.0033
Table 12,D6_ensemble @ target 0.05: maximum ASR over A1-A6,0.99
Table 11,ROC-AUC A0_static_templates x D1_3feat_tiny,0.999
Table 11,ROC-AUC A0_static_templates x D1b_3feat_trained,0.991
Table 11,ROC-AUC A0_static_templates x D2_embed_probe,1.0
Table 11,ROC-AUC A0_static_templates x D3_distilbert,1.0
Table 11,ROC-AUC A0_static_templates x D4_guard_zeroshot,0.998
Table 11,ROC-AUC A0_static_templates x D5_perplexity,0.964
Table 11,ROC-AUC A0_static_templates x D6_ensemble,0.971
Table 11,ROC-AUC A1_query_conditioned x D1_3feat_tiny,1.0
Table 11,ROC-AUC A1_query_conditioned x D1b_3feat_trained,0.999
Table 11,ROC-AUC A1_query_conditioned x D2_embed_probe,0.696
Table 11,ROC-AUC A1_query_conditioned x D3_distilbert,0.997
Table 11,ROC-AUC A1_query_conditioned x D4_guard_zeroshot,1.0
Table 11,ROC-AUC A1_query_conditioned x D5_perplexity,0.457
Table 11,ROC-AUC A1_query_conditioned x D6_ensemble,0.975
Table 11,ROC-AUC A2_imperative_free x D1_3feat_tiny,0.977
Table 11,ROC-AUC A2_imperative_free x D1b_3feat_trained,0.921
Table 11,ROC-AUC A2_imperative_free x D2_embed_probe,0.861
Table 11,ROC-AUC A2_imperative_free x D3_distilbert,0.998
Table 11,ROC-AUC A2_imperative_free x D4_guard_zeroshot,1.0
Table 11,ROC-AUC A2_imperative_free x D5_perplexity,0.977
Table 11,ROC-AUC A2_imperative_free x D6_ensemble,0.949
Table 11,ROC-AUC A3_semantic_camouflage x D1_3feat_tiny,0.029
Table 11,ROC-AUC A3_semantic_camouflage x D1b_3feat_trained,0.107
Table 11,ROC-AUC A3_semantic_camouflage x D2_embed_probe,0.463
Table 11,ROC-AUC A3_semantic_camouflage x D3_distilbert,0.457
Table 11,ROC-AUC A3_semantic_camouflage x D4_guard_zeroshot,0.509
Table 11,ROC-AUC A3_semantic_camouflage x D5_perplexity,0.524
Table 11,ROC-AUC A3_semantic_camouflage x D6_ensemble,0.491
Table 11,ROC-AUC A4_length_matched x D1_3feat_tiny,0.32
Table 11,ROC-AUC A4_length_matched x D1b_3feat_trained,0.341
Table 11,ROC-AUC A4_length_matched x D2_embed_probe,0.492
Table 11,ROC-AUC A4_length_matched x D3_distilbert,0.915
Table 11,ROC-AUC A4_length_matched x D4_guard_zeroshot,1.0
Table 11,ROC-AUC A4_length_matched x D5_perplexity,0.977
Table 11,ROC-AUC A4_length_matched x D6_ensemble,0.875
Table 11,ROC-AUC A6_split_payload x D1_3feat_tiny,0.331
Table 11,ROC-AUC A6_split_payload x D1b_3feat_trained,0.352
Table 11,ROC-AUC A6_split_payload x D2_embed_probe,0.481
Table 11,ROC-AUC A6_split_payload x D3_distilbert,0.518
Table 11,ROC-AUC A6_split_payload x D4_guard_zeroshot,0.765
Table 11,ROC-AUC A6_split_payload x D5_perplexity,0.879
Table 11,ROC-AUC A6_split_payload x D6_ensemble,0.521
Table 13,D1_3feat_tiny evasion rate,1.0
Table 13,D1_3feat_tiny median detector calls,33.0
Table 13,D1_3feat_tiny mean detector calls,37.8
Table 13,D1_3feat_tiny target queries,60.0
Table 13,D1b_3feat_trained evasion rate,1.0
Table 13,D1b_3feat_trained median detector calls,17.0
Table 13,D1b_3feat_trained mean detector calls,22.3
Table 13,D1b_3feat_trained target queries,60.0
Table 13,D2_embed_probe evasion rate,0.98
Table 13,D2_embed_probe median detector calls,9.0
Table 13,D2_embed_probe mean detector calls,10.2
Table 13,D2_embed_probe target queries,60.0
Table 13,D3_distilbert evasion rate,0.68
Table 13,D3_distilbert median detector calls,33.0
Table 13,D3_distilbert mean detector calls,33.8
Table 13,D3_distilbert target queries,60.0
Table 13,D4_guard_zeroshot evasion rate,0.05
Table 13,D4_guard_zeroshot median detector calls,17.0
Table 13,D4_guard_zeroshot mean detector calls,23.8
Table 13,D4_guard_zeroshot target queries,60.0
Table 13,D5_perplexity evasion rate,0.85
Table 13,D5_perplexity median detector calls,9.0
Table 13,D5_perplexity mean detector calls,13.7
Table 13,D5_perplexity target queries,60.0
Table 13,D6_ensemble evasion rate,1.0
Table 13,D6_ensemble median detector calls,9.0
Table 13,D6_ensemble mean detector calls,9.1
Table 13,D6_ensemble target queries,60.0
Table 4,"A1_query_conditioned compliance, 1.5B, position 0",0.0
Table 4,"A1_query_conditioned compliance, 3B, position 0",0.0
Table 4,A1_query_conditioned candidate survival P(E|D0),0.99
Table 4,"A2_imperative_free compliance, 1.5B, position 0",0.0
