table,cell,printed,regenerated,tolerance,source,status
Table 8,"Learned: RandomForest(500,d16) CI low",0.0001,0.0001,5e-05,released aggregate,PASS
Table 8,"Learned: RandomForest(500,d16) CI high",0.0343,0.0343,5e-05,released aggregate,PASS
Table 8,Learned: GradientBoosting(500) nDCG@10,0.4675,0.4675,5e-05,released aggregate,PASS
Table 8,Learned: GradientBoosting(500) delta vs dense,0.0114,0.0114,5e-05,released aggregate,PASS
Table 8,Learned: GradientBoosting(500) CI low,-0.0059,-0.0059,5e-05,released aggregate,PASS
Table 8,Learned: GradientBoosting(500) CI high,0.029,0.029,5e-05,released aggregate,PASS
Table 8,Oracle alpha (ceiling) nDCG@10,0.5753,0.5753,5e-05,released aggregate,PASS
Table 8,Oracle alpha (ceiling) delta vs dense,0.1192,0.1192,5e-05,released aggregate,PASS
Table 8,Oracle alpha (ceiling) CI low,0.1061,0.1061,5e-05,released aggregate,PASS
Table 8,Oracle alpha (ceiling) CI high,0.1327,0.1327,5e-05,released aggregate,PASS
Table 8,BM25 (alpha=0) recomputed from curves,0.377,0.377004,0.0005,recomputed,PASS
Table 8,Dense (alpha=1) recomputed from curves,0.4562,0.456157,0.0005,recomputed,PASS
Table 8,Fixed alpha*=0.65 recomputed from curves,0.5089,0.508898,0.0005,recomputed,PASS
Table 8,Oracle alpha recomputed from curves,0.5753,0.575317,0.0005,recomputed,PASS
Table 8,RRF (k=60) recomputed from curves,0.4822,0.482157,0.0005,recomputed,PASS
Table 9,"RandomForest(50,d5) CV R2",0.096,0.0956,0.0006,released aggregate,PASS
Table 9,"RandomForest(50,d5) Spearman rho",0.319,0.3186,0.0006,released aggregate,PASS
Table 9,"RandomForest(50,d5) MAE",0.268,0.2677,0.0006,released aggregate,PASS
Table 9,"RandomForest(50,d5) MAE of constant predictor",0.3,0.3001,0.0006,released aggregate,PASS
Table 9,"RandomForest(500,d16) CV R2",0.076,0.076,0.0006,released aggregate,PASS
Table 9,"RandomForest(500,d16) Spearman rho",0.315,0.3151,0.0006,released aggregate,PASS
Table 9,"RandomForest(500,d16) MAE",0.267,0.2673,0.0006,released aggregate,PASS
Table 9,"RandomForest(500,d16) MAE of constant predictor",0.3,0.3001,0.0006,released aggregate,PASS
Table 9,GradientBoosting(500) CV R2,-0.078,-0.0778,0.0006,released aggregate,PASS
Table 9,GradientBoosting(500) Spearman rho,0.271,0.2708,0.0006,released aggregate,PASS
Table 9,GradientBoosting(500) MAE,0.279,0.279,0.0006,released aggregate,PASS
Table 9,GradientBoosting(500) MAE of constant predictor,0.3,0.3001,0.0006,released aggregate,PASS
Table 9,mutual information query_len,0.017,0.0165,0.0006,released aggregate,PASS
Table 9,mutual information dense_std,0.039,0.0392,0.0006,released aggregate,PASS
Table 9,mutual information bm25_std,0.054,0.0537,0.0006,released aggregate,PASS
Table 9,mutual information dense_cv,0.009,0.0091,0.0006,released aggregate,PASS
Table 9,mutual information bm25_cv,0.013,0.0129,0.0006,released aggregate,PASS
Table 9,mutual information has_identifier,0.006,0.0062,0.0006,released aggregate,PASS
Section 4.2,highest single-feature mutual information,0.054,0.0537,0.0006,released aggregate,PASS
Table 3,candidate-survival ASR A0_static_templates x D0_none,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A0_static_templates x D1_3feat_tiny,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A0_static_templates x D1b_3feat_trained,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A0_static_templates x D2_embed_probe,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A0_static_templates x D3_distilbert,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A0_static_templates x D4_guard_zeroshot,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A0_static_templates x D5_perplexity,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A1_query_conditioned x D0_none,0.99,0.9933,0.005,recomputed,PASS
Table 3,candidate-survival ASR A1_query_conditioned x D1_3feat_tiny,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A1_query_conditioned x D1b_3feat_trained,0.02,0.02,0.005,recomputed,PASS
Table 3,candidate-survival ASR A1_query_conditioned x D2_embed_probe,0.92,0.9167,0.005,recomputed,PASS
Table 3,candidate-survival ASR A1_query_conditioned x D3_distilbert,0.03,0.03,0.005,recomputed,PASS
Table 3,candidate-survival ASR A1_query_conditioned x D4_guard_zeroshot,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A1_query_conditioned x D5_perplexity,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A2_imperative_free x D0_none,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A2_imperative_free x D1_3feat_tiny,0.99,0.9933,0.005,recomputed,PASS
Table 3,candidate-survival ASR A2_imperative_free x D1b_3feat_trained,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A2_imperative_free x D2_embed_probe,0.74,0.74,0.005,recomputed,PASS
Table 3,candidate-survival ASR A2_imperative_free x D3_distilbert,0.02,0.0233,0.005,recomputed,PASS
Table 3,candidate-survival ASR A2_imperative_free x D4_guard_zeroshot,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A2_imperative_free x D5_perplexity,0.22,0.22,0.005,recomputed,PASS
Table 3,candidate-survival ASR A3_semantic_camouflage x D0_none,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A3_semantic_camouflage x D1_3feat_tiny,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A3_semantic_camouflage x D1b_3feat_trained,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A3_semantic_camouflage x D2_embed_probe,0.98,0.9833,0.005,recomputed,PASS
Table 3,candidate-survival ASR A3_semantic_camouflage x D3_distilbert,0.99,0.9867,0.005,recomputed,PASS
Table 3,candidate-survival ASR A3_semantic_camouflage x D4_guard_zeroshot,0.99,0.99,0.005,recomputed,PASS
Table 3,candidate-survival ASR A3_semantic_camouflage x D5_perplexity,1.0,0.9967,0.005,recomputed,PASS
Table 3,candidate-survival ASR A4_length_matched x D0_none,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A4_length_matched x D1_3feat_tiny,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A4_length_matched x D1b_3feat_trained,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A4_length_matched x D2_embed_probe,0.98,0.98,0.005,recomputed,PASS
Table 3,candidate-survival ASR A4_length_matched x D3_distilbert,0.68,0.6767,0.005,recomputed,PASS
Table 3,candidate-survival ASR A4_length_matched x D4_guard_zeroshot,0.0,0.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A4_length_matched x D5_perplexity,0.66,0.66,0.005,recomputed,PASS
Table 3,candidate-survival ASR A5_score_guided x D0_none,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A5_score_guided x D1_3feat_tiny,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A5_score_guided x D1b_3feat_trained,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A5_score_guided x D2_embed_probe,0.98,0.9833,0.005,recomputed,PASS
Table 3,candidate-survival ASR A5_score_guided x D3_distilbert,0.68,0.6833,0.005,recomputed,PASS
Table 3,candidate-survival ASR A5_score_guided x D4_guard_zeroshot,0.05,0.05,0.005,recomputed,PASS
Table 3,candidate-survival ASR A5_score_guided x D5_perplexity,0.15,0.15,0.005,recomputed,PASS
Table 3,candidate-survival ASR A6_split_payload x D0_none,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A6_split_payload x D1_3feat_tiny,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A6_split_payload x D1b_3feat_trained,1.0,1.0,0.005,recomputed,PASS
Table 3,candidate-survival ASR A6_split_payload x D2_embed_probe,0.98,0.9767,0.005,recomputed,PASS
Table 3,candidate-survival ASR A6_split_payload x D3_distilbert,0.93,0.9267,0.005,recomputed,PASS
Table 3,candidate-survival ASR A6_split_payload x D4_guard_zeroshot,0.01,0.01,0.005,recomputed,PASS
Table 3,candidate-survival ASR A6_split_payload x D5_perplexity,0.9,0.9,0.005,recomputed,PASS
Table 3,"mean ASR over A1-A6, D0_none",1.0,0.998883,0.005,recomputed,PASS
Table 3,"maximum ASR over A1-A6, D0_none",1.0,1.0,0.005,recomputed,PASS
Table 3,"lowest cell over A1-A6, D0_none",0.99,0.9933,0.005,recomputed,PASS
Table 3,"mean ASR over A1-A6, D1_3feat_tiny",0.83,0.832217,0.005,recomputed,PASS
Table 3,"maximum ASR over A1-A6, D1_3feat_tiny",1.0,1.0,0.005,recomputed,PASS
Table 3,"lowest cell over A1-A6, D1_3feat_tiny",0.0,0.0,0.005,recomputed,PASS
Table 3,"mean ASR over A1-A6, D1b_3feat_trained",0.84,0.836667,0.005,recomputed,PASS
Table 3,"maximum ASR over A1-A6, D1b_3feat_trained",1.0,1.0,0.005,recomputed,PASS
Table 3,"lowest cell over A1-A6, D1b_3feat_trained",0.02,0.02,0.005,recomputed,PASS
Table 3,"mean ASR over A1-A6, D2_embed_probe",0.93,0.93,0.005,recomputed,PASS
